train_loss	train_depth_error
tensor(17.7828, device='cuda:0')	tensor(41.2756, device='cuda:0')
tensor(17.7712, device='cuda:0')	tensor(41.3081, device='cuda:0')
tensor(17.3553, device='cuda:0')	tensor(40.3159, device='cuda:0')
tensor(17.6960, device='cuda:0')	tensor(41.1176, device='cuda:0')
tensor(17.3538, device='cuda:0')	tensor(40.2561, device='cuda:0')
tensor(17.8777, device='cuda:0')	tensor(41.5313, device='cuda:0')
tensor(19.8664, device='cuda:0')	tensor(46.2173, device='cuda:0')
tensor(19.2152, device='cuda:0')	tensor(44.6552, device='cuda:0')
tensor(18.8622, device='cuda:0')	tensor(43.8686, device='cuda:0')
tensor(18.7279, device='cuda:0')	tensor(43.4421, device='cuda:0')
tensor(19.5873, device='cuda:0')	tensor(45.5052, device='cuda:0')
tensor(19.8053, device='cuda:0')	tensor(46.0539, device='cuda:0')
tensor(16.7782, device='cuda:0')	tensor(38.9313, device='cuda:0')
tensor(16.9242, device='cuda:0')	tensor(39.2527, device='cuda:0')
tensor(17.4231, device='cuda:0')	tensor(40.4033, device='cuda:0')
tensor(16.8568, device='cuda:0')	tensor(39.1158, device='cuda:0')
tensor(16.6888, device='cuda:0')	tensor(38.6935, device='cuda:0')
tensor(16.6392, device='cuda:0')	tensor(38.5936, device='cuda:0')
tensor(16.8512, device='cuda:0')	tensor(39.1112, device='cuda:0')
tensor(17.4627, device='cuda:0')	tensor(40.4662, device='cuda:0')
tensor(17.5629, device='cuda:0')	tensor(40.7871, device='cuda:0')
tensor(18.0389, device='cuda:0')	tensor(41.9499, device='cuda:0')
tensor(16.6371, device='cuda:0')	tensor(38.5332, device='cuda:0')
tensor(17.7832, device='cuda:0')	tensor(41.2936, device='cuda:0')
tensor(17.2104, device='cuda:0')	tensor(39.8862, device='cuda:0')
tensor(16.8609, device='cuda:0')	tensor(39.0348, device='cuda:0')
tensor(17.3281, device='cuda:0')	tensor(40.1783, device='cuda:0')
tensor(17.2746, device='cuda:0')	tensor(40.0150, device='cuda:0')
tensor(17.4384, device='cuda:0')	tensor(40.4042, device='cuda:0')
tensor(17.1799, device='cuda:0')	tensor(39.8184, device='cuda:0')
tensor(17.6933, device='cuda:0')	tensor(41.0196, device='cuda:0')
tensor(17.6592, device='cuda:0')	tensor(40.9914, device='cuda:0')
tensor(17.6949, device='cuda:0')	tensor(41.0273, device='cuda:0')
tensor(17.9094, device='cuda:0')	tensor(41.5345, device='cuda:0')
tensor(17.5494, device='cuda:0')	tensor(40.6915, device='cuda:0')
tensor(17.3400, device='cuda:0')	tensor(40.1728, device='cuda:0')
tensor(17.3792, device='cuda:0')	tensor(40.2656, device='cuda:0')
tensor(17.3553, device='cuda:0')	tensor(40.2358, device='cuda:0')
tensor(17.0826, device='cuda:0')	tensor(39.5681, device='cuda:0')
tensor(17.7264, device='cuda:0')	tensor(41.0838, device='cuda:0')
tensor(17.3915, device='cuda:0')	tensor(40.3045, device='cuda:0')
tensor(17.2681, device='cuda:0')	tensor(39.9420, device='cuda:0')
tensor(17.6930, device='cuda:0')	tensor(40.9220, device='cuda:0')
tensor(17.4703, device='cuda:0')	tensor(40.3866, device='cuda:0')
tensor(17.2571, device='cuda:0')	tensor(39.9079, device='cuda:0')
tensor(18.2839, device='cuda:0')	tensor(42.4696, device='cuda:0')
tensor(17.7389, device='cuda:0')	tensor(41.0684, device='cuda:0')
tensor(17.8100, device='cuda:0')	tensor(41.2589, device='cuda:0')
tensor(17.1368, device='cuda:0')	tensor(39.7186, device='cuda:0')
tensor(17.0097, device='cuda:0')	tensor(39.4758, device='cuda:0')
tensor(16.6159, device='cuda:0')	tensor(38.4809, device='cuda:0')
tensor(16.7016, device='cuda:0')	tensor(38.6099, device='cuda:0')
tensor(16.8506, device='cuda:0')	tensor(39.0680, device='cuda:0')
tensor(17.5856, device='cuda:0')	tensor(40.8460, device='cuda:0')
tensor(17.0493, device='cuda:0')	tensor(39.5100, device='cuda:0')
tensor(16.6968, device='cuda:0')	tensor(38.6124, device='cuda:0')
tensor(16.6072, device='cuda:0')	tensor(38.4981, device='cuda:0')
tensor(16.9793, device='cuda:0')	tensor(39.3032, device='cuda:0')
tensor(16.6059, device='cuda:0')	tensor(38.4550, device='cuda:0')
tensor(16.8239, device='cuda:0')	tensor(38.9628, device='cuda:0')
tensor(16.5287, device='cuda:0')	tensor(38.2232, device='cuda:0')
tensor(17.1372, device='cuda:0')	tensor(39.6713, device='cuda:0')
tensor(16.3680, device='cuda:0')	tensor(37.9013, device='cuda:0')
tensor(16.6174, device='cuda:0')	tensor(38.4122, device='cuda:0')
tensor(16.7016, device='cuda:0')	tensor(38.6902, device='cuda:0')
tensor(16.8316, device='cuda:0')	tensor(38.9467, device='cuda:0')
tensor(17.4826, device='cuda:0')	tensor(40.5066, device='cuda:0')
tensor(16.9817, device='cuda:0')	tensor(39.2886, device='cuda:0')
tensor(17.5155, device='cuda:0')	tensor(40.6266, device='cuda:0')
tensor(17.2041, device='cuda:0')	tensor(39.8686, device='cuda:0')
tensor(17.1306, device='cuda:0')	tensor(39.6426, device='cuda:0')
tensor(17.5098, device='cuda:0')	tensor(40.5012, device='cuda:0')
tensor(18.3018, device='cuda:0')	tensor(42.3198, device='cuda:0')
tensor(18.6014, device='cuda:0')	tensor(43.1204, device='cuda:0')
tensor(18.8281, device='cuda:0')	tensor(43.5371, device='cuda:0')
tensor(17.9286, device='cuda:0')	tensor(41.5196, device='cuda:0')
tensor(18.3836, device='cuda:0')	tensor(42.5350, device='cuda:0')
tensor(18.2252, device='cuda:0')	tensor(42.1887, device='cuda:0')
tensor(16.3143, device='cuda:0')	tensor(37.6680, device='cuda:0')
tensor(15.9948, device='cuda:0')	tensor(36.9610, device='cuda:0')
tensor(17.1028, device='cuda:0')	tensor(39.5280, device='cuda:0')
tensor(16.7774, device='cuda:0')	tensor(38.7292, device='cuda:0')
tensor(16.4039, device='cuda:0')	tensor(37.9273, device='cuda:0')
tensor(15.8700, device='cuda:0')	tensor(36.6224, device='cuda:0')
tensor(16.4922, device='cuda:0')	tensor(38.1054, device='cuda:0')
tensor(16.1403, device='cuda:0')	tensor(37.2872, device='cuda:0')
tensor(16.2995, device='cuda:0')	tensor(37.6283, device='cuda:0')
tensor(15.8892, device='cuda:0')	tensor(36.7047, device='cuda:0')
tensor(16.2306, device='cuda:0')	tensor(37.5056, device='cuda:0')
tensor(15.7402, device='cuda:0')	tensor(36.3633, device='cuda:0')
tensor(15.5057, device='cuda:0')	tensor(35.8110, device='cuda:0')
tensor(15.3320, device='cuda:0')	tensor(35.4398, device='cuda:0')
tensor(15.4391, device='cuda:0')	tensor(35.6842, device='cuda:0')
tensor(15.8530, device='cuda:0')	tensor(36.5565, device='cuda:0')
tensor(15.9789, device='cuda:0')	tensor(36.9855, device='cuda:0')
tensor(15.8503, device='cuda:0')	tensor(36.6163, device='cuda:0')
tensor(14.5721, device='cuda:0')	tensor(33.6783, device='cuda:0')
tensor(14.3297, device='cuda:0')	tensor(33.1261, device='cuda:0')
tensor(14.7602, device='cuda:0')	tensor(34.0688, device='cuda:0')
tensor(14.2195, device='cuda:0')	tensor(32.8055, device='cuda:0')
tensor(14.9300, device='cuda:0')	tensor(34.4945, device='cuda:0')
tensor(14.7420, device='cuda:0')	tensor(33.9995, device='cuda:0')
tensor(16.1429, device='cuda:0')	tensor(37.2559, device='cuda:0')
tensor(16.4100, device='cuda:0')	tensor(37.9379, device='cuda:0')
tensor(16.5248, device='cuda:0')	tensor(38.1650, device='cuda:0')
tensor(15.3585, device='cuda:0')	tensor(35.4461, device='cuda:0')
tensor(15.9412, device='cuda:0')	tensor(36.7338, device='cuda:0')
tensor(15.8488, device='cuda:0')	tensor(36.4823, device='cuda:0')
tensor(15.7571, device='cuda:0')	tensor(36.2532, device='cuda:0')
tensor(15.6950, device='cuda:0')	tensor(36.1681, device='cuda:0')
tensor(15.2745, device='cuda:0')	tensor(35.0898, device='cuda:0')
tensor(15.1173, device='cuda:0')	tensor(34.8266, device='cuda:0')
tensor(15.0931, device='cuda:0')	tensor(34.7018, device='cuda:0')
tensor(15.6440, device='cuda:0')	tensor(35.8929, device='cuda:0')
tensor(14.7423, device='cuda:0')	tensor(33.8688, device='cuda:0')
tensor(14.8545, device='cuda:0')	tensor(34.1158, device='cuda:0')
tensor(15.0111, device='cuda:0')	tensor(34.5034, device='cuda:0')
tensor(15.3007, device='cuda:0')	tensor(35.1402, device='cuda:0')
tensor(15.1942, device='cuda:0')	tensor(34.9086, device='cuda:0')
tensor(15.6705, device='cuda:0')	tensor(35.9514, device='cuda:0')
tensor(14.5506, device='cuda:0')	tensor(33.3913, device='cuda:0')
tensor(14.9658, device='cuda:0')	tensor(34.4302, device='cuda:0')
tensor(14.4561, device='cuda:0')	tensor(33.1698, device='cuda:0')
tensor(14.7194, device='cuda:0')	tensor(33.8093, device='cuda:0')
tensor(14.2061, device='cuda:0')	tensor(32.5760, device='cuda:0')
tensor(14.8452, device='cuda:0')	tensor(34.0401, device='cuda:0')
tensor(14.8546, device='cuda:0')	tensor(34.0340, device='cuda:0')
