train_loss	train_depth_error
tensor(15.7896, device='cuda:0')	tensor(36.1736, device='cuda:0')
tensor(15.4504, device='cuda:0')	tensor(35.3284, device='cuda:0')
tensor(15.1982, device='cuda:0')	tensor(34.7979, device='cuda:0')
tensor(14.9705, device='cuda:0')	tensor(34.2491, device='cuda:0')
tensor(15.4569, device='cuda:0')	tensor(35.2774, device='cuda:0')
tensor(14.5882, device='cuda:0')	tensor(33.3471, device='cuda:0')
tensor(14.5716, device='cuda:0')	tensor(33.2784, device='cuda:0')
tensor(14.1448, device='cuda:0')	tensor(32.3752, device='cuda:0')
tensor(14.9963, device='cuda:0')	tensor(34.2210, device='cuda:0')
tensor(14.6130, device='cuda:0')	tensor(33.3412, device='cuda:0')
tensor(14.4084, device='cuda:0')	tensor(32.9056, device='cuda:0')
tensor(14.0377, device='cuda:0')	tensor(32.0003, device='cuda:0')
tensor(13.8011, device='cuda:0')	tensor(31.5025, device='cuda:0')
tensor(14.2118, device='cuda:0')	tensor(32.4845, device='cuda:0')
tensor(14.3554, device='cuda:0')	tensor(32.7660, device='cuda:0')
tensor(13.8864, device='cuda:0')	tensor(31.7136, device='cuda:0')
tensor(14.0716, device='cuda:0')	tensor(32.1745, device='cuda:0')
tensor(14.0194, device='cuda:0')	tensor(32.0082, device='cuda:0')
tensor(13.8674, device='cuda:0')	tensor(31.6657, device='cuda:0')
tensor(13.6784, device='cuda:0')	tensor(31.1703, device='cuda:0')
tensor(14., device='cuda:0')	tensor(31.9086, device='cuda:0')
tensor(13.1048, device='cuda:0')	tensor(29.8421, device='cuda:0')
tensor(13.5962, device='cuda:0')	tensor(30.9937, device='cuda:0')
tensor(14.0458, device='cuda:0')	tensor(31.9982, device='cuda:0')
tensor(14.2302, device='cuda:0')	tensor(32.4281, device='cuda:0')
tensor(14.0029, device='cuda:0')	tensor(31.9092, device='cuda:0')
tensor(14.1560, device='cuda:0')	tensor(32.2682, device='cuda:0')
tensor(13.8809, device='cuda:0')	tensor(31.6337, device='cuda:0')
tensor(14.0921, device='cuda:0')	tensor(32.0124, device='cuda:0')
tensor(14.0693, device='cuda:0')	tensor(32.0266, device='cuda:0')
tensor(13.7032, device='cuda:0')	tensor(31.3143, device='cuda:0')
tensor(13.5968, device='cuda:0')	tensor(30.9474, device='cuda:0')
tensor(14.1085, device='cuda:0')	tensor(32.1358, device='cuda:0')
tensor(13.0803, device='cuda:0')	tensor(29.8499, device='cuda:0')
tensor(13.8159, device='cuda:0')	tensor(31.5732, device='cuda:0')
tensor(14.0296, device='cuda:0')	tensor(31.9644, device='cuda:0')
tensor(14.4633, device='cuda:0')	tensor(32.9410, device='cuda:0')
tensor(13.7397, device='cuda:0')	tensor(31.3306, device='cuda:0')
tensor(13.6027, device='cuda:0')	tensor(31.0295, device='cuda:0')
tensor(13.7455, device='cuda:0')	tensor(31.3839, device='cuda:0')
tensor(13.3370, device='cuda:0')	tensor(30.3488, device='cuda:0')
tensor(13.7264, device='cuda:0')	tensor(31.3004, device='cuda:0')
tensor(13.2422, device='cuda:0')	tensor(30.2828, device='cuda:0')
tensor(13.5905, device='cuda:0')	tensor(31.0384, device='cuda:0')
tensor(12.7645, device='cuda:0')	tensor(29.1734, device='cuda:0')
tensor(13.6599, device='cuda:0')	tensor(31.2580, device='cuda:0')
tensor(12.9392, device='cuda:0')	tensor(29.5683, device='cuda:0')
tensor(13.4707, device='cuda:0')	tensor(30.7025, device='cuda:0')
tensor(13.6502, device='cuda:0')	tensor(31.1406, device='cuda:0')
tensor(13.8184, device='cuda:0')	tensor(31.5351, device='cuda:0')
tensor(13.9013, device='cuda:0')	tensor(31.7543, device='cuda:0')
tensor(13.2849, device='cuda:0')	tensor(30.3117, device='cuda:0')
tensor(13.3952, device='cuda:0')	tensor(30.5590, device='cuda:0')
tensor(13.1898, device='cuda:0')	tensor(30.1172, device='cuda:0')
tensor(13.1616, device='cuda:0')	tensor(30.0441, device='cuda:0')
tensor(13.7370, device='cuda:0')	tensor(31.4015, device='cuda:0')
tensor(13.1117, device='cuda:0')	tensor(29.9540, device='cuda:0')
tensor(13.2431, device='cuda:0')	tensor(30.2513, device='cuda:0')
tensor(13.7383, device='cuda:0')	tensor(31.3519, device='cuda:0')
tensor(14.0383, device='cuda:0')	tensor(32.0549, device='cuda:0')
tensor(14.3849, device='cuda:0')	tensor(32.8264, device='cuda:0')
tensor(14.2340, device='cuda:0')	tensor(32.5180, device='cuda:0')
tensor(14.3173, device='cuda:0')	tensor(32.6757, device='cuda:0')
tensor(14.3056, device='cuda:0')	tensor(32.6680, device='cuda:0')
tensor(13.6462, device='cuda:0')	tensor(31.2102, device='cuda:0')
tensor(13.8359, device='cuda:0')	tensor(31.7020, device='cuda:0')
tensor(13.8646, device='cuda:0')	tensor(31.7320, device='cuda:0')
tensor(13.8801, device='cuda:0')	tensor(31.6678, device='cuda:0')
tensor(13.5517, device='cuda:0')	tensor(30.9946, device='cuda:0')
tensor(13.3307, device='cuda:0')	tensor(30.4992, device='cuda:0')
tensor(13.6865, device='cuda:0')	tensor(31.3296, device='cuda:0')
tensor(13.0179, device='cuda:0')	tensor(29.8182, device='cuda:0')
tensor(13.2341, device='cuda:0')	tensor(30.3419, device='cuda:0')
tensor(13.0232, device='cuda:0')	tensor(29.8706, device='cuda:0')
tensor(13.0669, device='cuda:0')	tensor(29.9831, device='cuda:0')
tensor(13.6564, device='cuda:0')	tensor(31.2811, device='cuda:0')
tensor(12.8917, device='cuda:0')	tensor(29.6009, device='cuda:0')
tensor(13.3756, device='cuda:0')	tensor(30.6807, device='cuda:0')
tensor(13.1763, device='cuda:0')	tensor(30.1900, device='cuda:0')
tensor(13.5999, device='cuda:0')	tensor(31.1631, device='cuda:0')
tensor(13.5250, device='cuda:0')	tensor(31.0681, device='cuda:0')
tensor(12.9290, device='cuda:0')	tensor(29.7031, device='cuda:0')
tensor(13.2046, device='cuda:0')	tensor(30.3303, device='cuda:0')
tensor(14.3368, device='cuda:0')	tensor(32.9132, device='cuda:0')
tensor(14.3779, device='cuda:0')	tensor(32.9941, device='cuda:0')
tensor(13.8466, device='cuda:0')	tensor(31.7508, device='cuda:0')
tensor(14.4100, device='cuda:0')	tensor(33.0628, device='cuda:0')
tensor(14.3112, device='cuda:0')	tensor(32.8652, device='cuda:0')
tensor(14.0163, device='cuda:0')	tensor(32.1642, device='cuda:0')
tensor(13.0865, device='cuda:0')	tensor(30.0841, device='cuda:0')
tensor(13.2773, device='cuda:0')	tensor(30.5145, device='cuda:0')
tensor(13.4558, device='cuda:0')	tensor(30.9949, device='cuda:0')
tensor(13.3556, device='cuda:0')	tensor(30.7048, device='cuda:0')
tensor(13.2955, device='cuda:0')	tensor(30.6057, device='cuda:0')
tensor(13.4037, device='cuda:0')	tensor(30.8507, device='cuda:0')
tensor(13.7277, device='cuda:0')	tensor(31.6261, device='cuda:0')
tensor(13.9219, device='cuda:0')	tensor(32.0351, device='cuda:0')
tensor(14.0623, device='cuda:0')	tensor(32.3280, device='cuda:0')
tensor(14.1103, device='cuda:0')	tensor(32.4503, device='cuda:0')
tensor(13.5515, device='cuda:0')	tensor(31.1570, device='cuda:0')
tensor(13.4240, device='cuda:0')	tensor(30.8739, device='cuda:0')
tensor(13.2818, device='cuda:0')	tensor(30.5344, device='cuda:0')
tensor(12.7225, device='cuda:0')	tensor(29.2945, device='cuda:0')
tensor(12.5763, device='cuda:0')	tensor(28.9605, device='cuda:0')
tensor(12.9438, device='cuda:0')	tensor(29.8345, device='cuda:0')
tensor(13.2442, device='cuda:0')	tensor(30.5730, device='cuda:0')
tensor(12.4174, device='cuda:0')	tensor(28.6802, device='cuda:0')
tensor(12.4721, device='cuda:0')	tensor(28.7872, device='cuda:0')
tensor(12.3331, device='cuda:0')	tensor(28.4929, device='cuda:0')
tensor(12.5317, device='cuda:0')	tensor(28.9073, device='cuda:0')
tensor(12.1395, device='cuda:0')	tensor(27.9933, device='cuda:0')
tensor(12.1394, device='cuda:0')	tensor(27.9852, device='cuda:0')
tensor(12.3300, device='cuda:0')	tensor(28.4442, device='cuda:0')
tensor(13.5808, device='cuda:0')	tensor(31.3262, device='cuda:0')
tensor(12.8515, device='cuda:0')	tensor(29.6362, device='cuda:0')
tensor(14.0773, device='cuda:0')	tensor(32.4456, device='cuda:0')
tensor(12.9136, device='cuda:0')	tensor(29.7274, device='cuda:0')
tensor(13.0563, device='cuda:0')	tensor(30.0507, device='cuda:0')
tensor(12.9590, device='cuda:0')	tensor(29.8833, device='cuda:0')
tensor(14.0384, device='cuda:0')	tensor(32.3332, device='cuda:0')
tensor(13.9086, device='cuda:0')	tensor(32.0546, device='cuda:0')
tensor(14.5321, device='cuda:0')	tensor(33.4906, device='cuda:0')
tensor(13.6111, device='cuda:0')	tensor(31.3699, device='cuda:0')
tensor(12.9764, device='cuda:0')	tensor(29.8627, device='cuda:0')
tensor(14.0803, device='cuda:0')	tensor(32.3443, device='cuda:0')
tensor(12.5751, device='cuda:0')	tensor(28.9861, device='cuda:0')
tensor(12.4600, device='cuda:0')	tensor(28.7669, device='cuda:0')
tensor(12.5682, device='cuda:0')	tensor(29.0131, device='cuda:0')
tensor(12.9525, device='cuda:0')	tensor(29.9262, device='cuda:0')
tensor(12.5778, device='cuda:0')	tensor(29.0722, device='cuda:0')
tensor(12.2618, device='cuda:0')	tensor(28.3345, device='cuda:0')
tensor(12.7294, device='cuda:0')	tensor(29.4084, device='cuda:0')
tensor(12.6486, device='cuda:0')	tensor(29.2111, device='cuda:0')
tensor(12.6273, device='cuda:0')	tensor(29.1347, device='cuda:0')
tensor(12.4869, device='cuda:0')	tensor(28.8253, device='cuda:0')
tensor(12.4207, device='cuda:0')	tensor(28.6592, device='cuda:0')
tensor(12.7489, device='cuda:0')	tensor(29.3672, device='cuda:0')
tensor(12.3266, device='cuda:0')	tensor(28.3802, device='cuda:0')
tensor(12.1539, device='cuda:0')	tensor(27.9960, device='cuda:0')
tensor(12.2821, device='cuda:0')	tensor(28.3433, device='cuda:0')
tensor(11.9403, device='cuda:0')	tensor(27.4699, device='cuda:0')
tensor(12.1461, device='cuda:0')	tensor(27.9959, device='cuda:0')
tensor(12.2632, device='cuda:0')	tensor(28.3355, device='cuda:0')
tensor(12.6988, device='cuda:0')	tensor(29.3253, device='cuda:0')
tensor(12.5327, device='cuda:0')	tensor(28.9184, device='cuda:0')
tensor(12.9170, device='cuda:0')	tensor(29.8293, device='cuda:0')
tensor(12.5534, device='cuda:0')	tensor(28.9935, device='cuda:0')
tensor(12.6134, device='cuda:0')	tensor(29.0929, device='cuda:0')
tensor(12.7579, device='cuda:0')	tensor(29.4045, device='cuda:0')
tensor(13.4200, device='cuda:0')	tensor(30.9064, device='cuda:0')
tensor(13.4511, device='cuda:0')	tensor(30.9832, device='cuda:0')
tensor(13.2044, device='cuda:0')	tensor(30.4017, device='cuda:0')
tensor(13.1715, device='cuda:0')	tensor(30.3732, device='cuda:0')
tensor(13.8466, device='cuda:0')	tensor(31.8744, device='cuda:0')
tensor(13.8344, device='cuda:0')	tensor(31.8139, device='cuda:0')
tensor(13.1509, device='cuda:0')	tensor(30.2794, device='cuda:0')
tensor(12.5237, device='cuda:0')	tensor(28.8639, device='cuda:0')
tensor(12.8512, device='cuda:0')	tensor(29.5974, device='cuda:0')
tensor(13.4654, device='cuda:0')	tensor(31.0409, device='cuda:0')
tensor(13.6913, device='cuda:0')	tensor(31.5364, device='cuda:0')
tensor(13.4741, device='cuda:0')	tensor(31.0655, device='cuda:0')
tensor(12.7625, device='cuda:0')	tensor(29.4417, device='cuda:0')
tensor(12.8704, device='cuda:0')	tensor(29.6798, device='cuda:0')
tensor(13.0029, device='cuda:0')	tensor(29.9862, device='cuda:0')
tensor(12.9912, device='cuda:0')	tensor(29.8700, device='cuda:0')
tensor(12.8330, device='cuda:0')	tensor(29.5725, device='cuda:0')
tensor(13.2407, device='cuda:0')	tensor(30.5319, device='cuda:0')
tensor(12.9087, device='cuda:0')	tensor(29.7285, device='cuda:0')
tensor(12.6042, device='cuda:0')	tensor(29.0518, device='cuda:0')
tensor(12.5091, device='cuda:0')	tensor(28.8756, device='cuda:0')
tensor(12.5185, device='cuda:0')	tensor(28.8785, device='cuda:0')
tensor(13.0431, device='cuda:0')	tensor(29.9994, device='cuda:0')
tensor(12.5723, device='cuda:0')	tensor(28.9432, device='cuda:0')
tensor(12.4313, device='cuda:0')	tensor(28.5927, device='cuda:0')
tensor(12.6932, device='cuda:0')	tensor(29.1844, device='cuda:0')
tensor(12.3581, device='cuda:0')	tensor(28.3751, device='cuda:0')
tensor(12.4463, device='cuda:0')	tensor(28.6457, device='cuda:0')
tensor(12.0668, device='cuda:0')	tensor(27.8035, device='cuda:0')
tensor(12.6792, device='cuda:0')	tensor(29.1584, device='cuda:0')
tensor(11.9448, device='cuda:0')	tensor(27.5397, device='cuda:0')
tensor(12.1232, device='cuda:0')	tensor(27.9406, device='cuda:0')
tensor(11.9209, device='cuda:0')	tensor(27.4168, device='cuda:0')
tensor(11.7676, device='cuda:0')	tensor(27.0466, device='cuda:0')
tensor(11.9929, device='cuda:0')	tensor(27.5723, device='cuda:0')
tensor(12.0551, device='cuda:0')	tensor(27.6987, device='cuda:0')
tensor(11.8188, device='cuda:0')	tensor(27.0808, device='cuda:0')
tensor(11.7238, device='cuda:0')	tensor(26.8837, device='cuda:0')
tensor(11.5359, device='cuda:0')	tensor(26.3959, device='cuda:0')
tensor(11.5574, device='cuda:0')	tensor(26.4685, device='cuda:0')
tensor(11.3921, device='cuda:0')	tensor(26.1018, device='cuda:0')
tensor(11.8480, device='cuda:0')	tensor(27.1653, device='cuda:0')
tensor(12.3927, device='cuda:0')	tensor(28.4756, device='cuda:0')
tensor(12.5619, device='cuda:0')	tensor(28.7932, device='cuda:0')
tensor(12.9784, device='cuda:0')	tensor(29.7139, device='cuda:0')
tensor(12.2821, device='cuda:0')	tensor(28.1303, device='cuda:0')
tensor(12.5107, device='cuda:0')	tensor(28.5940, device='cuda:0')
tensor(12.5738, device='cuda:0')	tensor(28.7906, device='cuda:0')
tensor(12.0428, device='cuda:0')	tensor(27.5650, device='cuda:0')
tensor(12.4688, device='cuda:0')	tensor(28.5697, device='cuda:0')
tensor(12.5041, device='cuda:0')	tensor(28.5832, device='cuda:0')
tensor(12.1204, device='cuda:0')	tensor(27.7251, device='cuda:0')
tensor(12.3039, device='cuda:0')	tensor(28.1859, device='cuda:0')
tensor(11.7607, device='cuda:0')	tensor(26.9005, device='cuda:0')
tensor(11.5405, device='cuda:0')	tensor(26.4492, device='cuda:0')
tensor(12.1689, device='cuda:0')	tensor(27.8612, device='cuda:0')
tensor(11.5959, device='cuda:0')	tensor(26.5500, device='cuda:0')
tensor(11.7430, device='cuda:0')	tensor(26.9026, device='cuda:0')
tensor(12.4664, device='cuda:0')	tensor(28.5364, device='cuda:0')
tensor(11.8387, device='cuda:0')	tensor(27.1454, device='cuda:0')
tensor(11.8070, device='cuda:0')	tensor(27.0949, device='cuda:0')
tensor(12.2100, device='cuda:0')	tensor(27.8645, device='cuda:0')
tensor(11.4528, device='cuda:0')	tensor(26.1777, device='cuda:0')
tensor(11.6033, device='cuda:0')	tensor(26.4702, device='cuda:0')
tensor(11.9844, device='cuda:0')	tensor(27.4311, device='cuda:0')
tensor(11.6406, device='cuda:0')	tensor(26.5446, device='cuda:0')
tensor(11.7745, device='cuda:0')	tensor(26.8599, device='cuda:0')
tensor(11.7237, device='cuda:0')	tensor(26.8044, device='cuda:0')
tensor(11.7968, device='cuda:0')	tensor(26.9489, device='cuda:0')
tensor(11.8754, device='cuda:0')	tensor(27.1629, device='cuda:0')
tensor(11.5681, device='cuda:0')	tensor(26.4213, device='cuda:0')
tensor(11.3360, device='cuda:0')	tensor(25.8906, device='cuda:0')
tensor(11.5833, device='cuda:0')	tensor(26.4467, device='cuda:0')
tensor(11.8387, device='cuda:0')	tensor(27.0381, device='cuda:0')
tensor(11.4843, device='cuda:0')	tensor(26.2534, device='cuda:0')
tensor(11.6150, device='cuda:0')	tensor(26.5077, device='cuda:0')
tensor(11.9442, device='cuda:0')	tensor(27.2570, device='cuda:0')
tensor(12.1922, device='cuda:0')	tensor(27.7768, device='cuda:0')
tensor(12.4880, device='cuda:0')	tensor(28.4511, device='cuda:0')
tensor(12.2573, device='cuda:0')	tensor(27.9249, device='cuda:0')
tensor(12.7322, device='cuda:0')	tensor(28.9534, device='cuda:0')
tensor(12.2860, device='cuda:0')	tensor(27.9704, device='cuda:0')
tensor(11.9166, device='cuda:0')	tensor(27.1984, device='cuda:0')
tensor(11.9962, device='cuda:0')	tensor(27.2999, device='cuda:0')
tensor(12.6797, device='cuda:0')	tensor(28.9589, device='cuda:0')
tensor(11.9955, device='cuda:0')	tensor(27.3446, device='cuda:0')
tensor(12.0863, device='cuda:0')	tensor(27.5067, device='cuda:0')
tensor(12.1781, device='cuda:0')	tensor(27.7081, device='cuda:0')
tensor(12.0023, device='cuda:0')	tensor(27.3354, device='cuda:0')
tensor(11.9898, device='cuda:0')	tensor(27.2546, device='cuda:0')
tensor(12.3727, device='cuda:0')	tensor(28.1614, device='cuda:0')
tensor(12.6428, device='cuda:0')	tensor(28.7104, device='cuda:0')
tensor(11.8171, device='cuda:0')	tensor(26.8247, device='cuda:0')
tensor(12.1698, device='cuda:0')	tensor(27.6903, device='cuda:0')
tensor(12.3031, device='cuda:0')	tensor(27.9835, device='cuda:0')
tensor(11.8645, device='cuda:0')	tensor(26.9257, device='cuda:0')
tensor(11.8111, device='cuda:0')	tensor(26.8114, device='cuda:0')
tensor(11.4877, device='cuda:0')	tensor(26.1351, device='cuda:0')
tensor(11.6139, device='cuda:0')	tensor(26.3408, device='cuda:0')
tensor(11.7824, device='cuda:0')	tensor(26.6817, device='cuda:0')
tensor(12.0261, device='cuda:0')	tensor(27.2454, device='cuda:0')
tensor(11.4129, device='cuda:0')	tensor(25.8754, device='cuda:0')
tensor(11.7032, device='cuda:0')	tensor(26.5327, device='cuda:0')
tensor(12.0623, device='cuda:0')	tensor(27.2816, device='cuda:0')
tensor(11.8340, device='cuda:0')	tensor(26.8230, device='cuda:0')
tensor(12.0369, device='cuda:0')	tensor(27.2821, device='cuda:0')
tensor(11.6683, device='cuda:0')	tensor(26.3751, device='cuda:0')
tensor(12.0433, device='cuda:0')	tensor(27.2568, device='cuda:0')
tensor(11.8465, device='cuda:0')	tensor(26.8310, device='cuda:0')
tensor(11.6926, device='cuda:0')	tensor(26.4265, device='cuda:0')
tensor(11.6800, device='cuda:0')	tensor(26.4556, device='cuda:0')
tensor(11.7140, device='cuda:0')	tensor(26.4935, device='cuda:0')
