train_loss	train_depth_error
19.714941024780273	45.43313980102539
20.197765350341797	46.5365104675293
19.496503829956055	44.909095764160156
19.313743591308594	44.468868255615234
19.08982276916504	43.935367584228516
20.209964752197266	46.489707946777344
19.024967193603516	43.73705291748047
19.627782821655273	45.096885681152344
19.85527801513672	45.59204864501953
19.29575538635254	44.27186965942383
18.558897018432617	42.55220413208008
19.233537673950195	44.065406799316406
19.3404483795166	44.27645492553711
19.413455963134766	44.40386199951172
18.896806716918945	43.18906784057617
19.12248420715332	43.68416976928711
18.794452667236328	42.907047271728516
18.284826278686523	41.71697998046875
17.841012954711914	40.67662811279297
18.358951568603516	41.83150863647461
18.338665008544922	41.738677978515625
18.29879379272461	41.6451416015625
17.621437072753906	40.10075759887695
18.201202392578125	41.38920974731445
18.284940719604492	41.565513610839844
18.403789520263672	41.83860778808594
18.045703887939453	40.99676513671875
18.26479148864746	41.47897720336914
17.970569610595703	40.80649185180664
18.38810920715332	41.740234375
18.083213806152344	41.02513122558594
17.528459548950195	39.777740478515625
18.526947021484375	42.046104431152344
18.1368350982666	41.12659454345703
17.763139724731445	40.26830291748047
18.32484245300293	41.54145812988281
17.557647705078125	39.77421188354492
17.57456398010254	39.77736282348633
17.5356388092041	39.6971549987793
17.4263858795166	39.470848083496094
17.990400314331055	40.71031188964844
17.280500411987305	39.1616096496582
17.5511531829834	39.705604553222656
18.054555892944336	40.85411834716797
16.762147903442383	37.93902587890625
17.58600425720215	39.77863311767578
17.099328994750977	38.69313430786133
17.687421798706055	40.07759094238281
17.640769958496094	39.943443298339844
17.524024963378906	39.58174133300781
17.559364318847656	39.7265625
17.11764144897461	38.68985366821289
17.302356719970703	39.169342041015625
17.301084518432617	39.1395149230957
17.29479217529297	39.037139892578125
17.156108856201172	38.7674560546875
17.468055725097656	39.47168731689453
17.022245407104492	38.52874755859375
16.86020278930664	38.14783477783203
17.897411346435547	40.45418167114258
17.382741928100586	39.30398178100586
17.10759735107422	38.65823745727539
17.169361114501953	38.839298248291016
16.770299911499023	37.880008697509766
17.059810638427734	38.57044982910156
16.578725814819336	37.45696258544922
17.260465621948242	38.889339447021484
16.962919235229492	38.31987762451172
17.073129653930664	38.547515869140625
17.647390365600586	39.866355895996094
16.835987091064453	38.0731201171875
16.936105728149414	38.209083557128906
16.913616180419922	38.15064239501953
16.846113204956055	38.105796813964844
16.875896453857422	38.11852264404297
17.000608444213867	38.39906311035156
17.09999656677246	38.66682434082031
16.957956314086914	38.31865692138672
17.222715377807617	38.928741455078125
16.2575626373291	36.77666473388672
16.882312774658203	38.155677795410156
16.701330184936523	37.765167236328125
16.644107818603516	37.54250717163086
17.16017723083496	38.69239044189453
16.158205032348633	36.55548095703125
16.711477279663086	37.73361587524414
16.793710708618164	37.961700439453125
16.61724090576172	37.58529281616211
16.94217300415039	38.219444274902344
17.085052490234375	38.59923553466797
16.111072540283203	36.39740753173828
16.40319061279297	37.099395751953125
16.80890464782715	38.08612823486328
16.79694366455078	37.995994567871094
16.4594669342041	37.202415466308594
16.85913848876953	38.0637321472168
16.872509002685547	38.10212326049805
16.607759475708008	37.52507781982422
16.586509704589844	37.44123840332031
16.445117950439453	37.169517517089844
16.072206497192383	36.36090850830078
16.470523834228516	37.17238998413086
16.512622833251953	37.35820007324219
15.899554252624512	35.96345520019531
16.669546127319336	37.60921859741211
16.915260314941406	38.218406677246094
16.580503463745117	37.47126388549805
16.45537757873535	37.12932205200195
16.1690616607666	36.61427688598633
16.28707504272461	36.77859878540039
15.555874824523926	35.2299919128418
16.434314727783203	37.18175506591797
16.51581573486328	37.302345275878906
16.341035842895508	36.968475341796875
16.500423431396484	37.19072723388672
15.763814926147461	35.65455627441406
16.720224380493164	37.73088836669922
16.48482322692871	37.26402282714844
16.395212173461914	37.07813262939453
16.463666915893555	37.1733512878418
16.234464645385742	36.702476501464844
16.68854331970215	37.66016387939453
16.252058029174805	36.710411071777344
16.22022247314453	36.638282775878906
16.002559661865234	36.147064208984375
16.414175033569336	37.019508361816406
16.409746170043945	37.10054016113281
15.67007064819336	35.46764373779297
