train_loss	train_depth_error
tensor(15.7653, device='cuda:0')	tensor(36.4892, device='cuda:0')
tensor(15.6025, device='cuda:0')	tensor(35.9662, device='cuda:0')
tensor(16.9707, device='cuda:0')	tensor(39.3408, device='cuda:0')
tensor(15.9548, device='cuda:0')	tensor(36.8274, device='cuda:0')
tensor(16.6794, device='cuda:0')	tensor(38.6497, device='cuda:0')
tensor(16.8071, device='cuda:0')	tensor(38.9045, device='cuda:0')
tensor(16.4461, device='cuda:0')	tensor(38.0508, device='cuda:0')
tensor(16.3661, device='cuda:0')	tensor(37.9284, device='cuda:0')
tensor(16.4091, device='cuda:0')	tensor(38.0216, device='cuda:0')
tensor(16.8351, device='cuda:0')	tensor(39.0067, device='cuda:0')
tensor(17.2657, device='cuda:0')	tensor(40.0262, device='cuda:0')
tensor(17.5714, device='cuda:0')	tensor(40.7110, device='cuda:0')
tensor(17.1516, device='cuda:0')	tensor(39.6451, device='cuda:0')
tensor(17.3045, device='cuda:0')	tensor(40.0622, device='cuda:0')
tensor(17.3868, device='cuda:0')	tensor(40.2172, device='cuda:0')
tensor(17.2927, device='cuda:0')	tensor(39.9527, device='cuda:0')
tensor(17.2049, device='cuda:0')	tensor(39.8239, device='cuda:0')
tensor(17.2496, device='cuda:0')	tensor(39.8495, device='cuda:0')
tensor(17.3849, device='cuda:0')	tensor(40.1942, device='cuda:0')
tensor(17.1002, device='cuda:0')	tensor(39.5357, device='cuda:0')
tensor(16.7324, device='cuda:0')	tensor(38.6968, device='cuda:0')
tensor(16.7763, device='cuda:0')	tensor(38.7966, device='cuda:0')
tensor(16.9856, device='cuda:0')	tensor(39.3086, device='cuda:0')
tensor(16.3200, device='cuda:0')	tensor(37.7747, device='cuda:0')
tensor(16.0068, device='cuda:0')	tensor(37.0301, device='cuda:0')
tensor(16.7270, device='cuda:0')	tensor(38.7646, device='cuda:0')
tensor(16.1983, device='cuda:0')	tensor(37.4455, device='cuda:0')
tensor(15.8893, device='cuda:0')	tensor(36.6798, device='cuda:0')
tensor(15.9592, device='cuda:0')	tensor(36.9174, device='cuda:0')
tensor(16.1028, device='cuda:0')	tensor(37.1774, device='cuda:0')
tensor(16.9650, device='cuda:0')	tensor(39.1875, device='cuda:0')
tensor(16.7431, device='cuda:0')	tensor(38.6927, device='cuda:0')
tensor(16.7574, device='cuda:0')	tensor(38.7845, device='cuda:0')
tensor(16.4666, device='cuda:0')	tensor(38.0669, device='cuda:0')
tensor(16.3612, device='cuda:0')	tensor(37.8434, device='cuda:0')
tensor(15.5205, device='cuda:0')	tensor(35.8159, device='cuda:0')
tensor(15.2093, device='cuda:0')	tensor(35.1367, device='cuda:0')
tensor(16.7235, device='cuda:0')	tensor(38.6418, device='cuda:0')
tensor(16.0801, device='cuda:0')	tensor(37.1882, device='cuda:0')
tensor(15.6716, device='cuda:0')	tensor(36.2166, device='cuda:0')
tensor(15.0626, device='cuda:0')	tensor(34.8129, device='cuda:0')
tensor(17.1123, device='cuda:0')	tensor(39.5828, device='cuda:0')
tensor(16.8665, device='cuda:0')	tensor(38.9782, device='cuda:0')
tensor(17.0053, device='cuda:0')	tensor(39.2981, device='cuda:0')
tensor(16.3686, device='cuda:0')	tensor(37.7673, device='cuda:0')
tensor(16.8196, device='cuda:0')	tensor(38.8555, device='cuda:0')
tensor(16.7543, device='cuda:0')	tensor(38.7316, device='cuda:0')
tensor(15.5132, device='cuda:0')	tensor(35.7860, device='cuda:0')
tensor(15.1924, device='cuda:0')	tensor(35.0366, device='cuda:0')
tensor(14.8780, device='cuda:0')	tensor(34.3723, device='cuda:0')
tensor(15.6383, device='cuda:0')	tensor(36.0642, device='cuda:0')
tensor(15.5895, device='cuda:0')	tensor(35.9998, device='cuda:0')
tensor(14.9242, device='cuda:0')	tensor(34.3958, device='cuda:0')
tensor(16.0930, device='cuda:0')	tensor(37.1569, device='cuda:0')
tensor(15.8173, device='cuda:0')	tensor(36.5301, device='cuda:0')
tensor(16.3978, device='cuda:0')	tensor(37.7418, device='cuda:0')
tensor(15.7237, device='cuda:0')	tensor(36.2675, device='cuda:0')
tensor(16.2486, device='cuda:0')	tensor(37.4996, device='cuda:0')
tensor(15.9919, device='cuda:0')	tensor(36.8569, device='cuda:0')
tensor(16.1689, device='cuda:0')	tensor(37.2613, device='cuda:0')
tensor(16.4904, device='cuda:0')	tensor(38.0459, device='cuda:0')
tensor(16.2972, device='cuda:0')	tensor(37.5068, device='cuda:0')
tensor(15.8950, device='cuda:0')	tensor(36.5425, device='cuda:0')
tensor(16.4042, device='cuda:0')	tensor(37.6071, device='cuda:0')
tensor(16.5048, device='cuda:0')	tensor(37.9683, device='cuda:0')
tensor(16.3131, device='cuda:0')	tensor(37.4525, device='cuda:0')
tensor(16.8635, device='cuda:0')	tensor(38.8059, device='cuda:0')
tensor(16.2729, device='cuda:0')	tensor(37.2472, device='cuda:0')
tensor(16.0809, device='cuda:0')	tensor(36.8850, device='cuda:0')
tensor(15.8243, device='cuda:0')	tensor(36.2696, device='cuda:0')
tensor(16.6187, device='cuda:0')	tensor(38.0388, device='cuda:0')
tensor(14.3767, device='cuda:0')	tensor(32.9162, device='cuda:0')
tensor(13.6859, device='cuda:0')	tensor(31.3598, device='cuda:0')
tensor(14.2652, device='cuda:0')	tensor(32.7318, device='cuda:0')
tensor(14.5681, device='cuda:0')	tensor(33.3527, device='cuda:0')
tensor(13.9505, device='cuda:0')	tensor(31.9622, device='cuda:0')
tensor(14.8018, device='cuda:0')	tensor(33.9923, device='cuda:0')
tensor(13.8403, device='cuda:0')	tensor(31.6884, device='cuda:0')
tensor(14.3609, device='cuda:0')	tensor(32.8534, device='cuda:0')
tensor(13.8559, device='cuda:0')	tensor(31.7259, device='cuda:0')
tensor(13.9501, device='cuda:0')	tensor(31.9995, device='cuda:0')
tensor(13.9961, device='cuda:0')	tensor(32.0800, device='cuda:0')
tensor(14.7245, device='cuda:0')	tensor(33.7255, device='cuda:0')
