train_loss	train_depth_error
tensor(18.6709, device='cuda:0')	tensor(43.3984, device='cuda:0')
tensor(18.4888, device='cuda:0')	tensor(42.9247, device='cuda:0')
tensor(17.7876, device='cuda:0')	tensor(41.2210, device='cuda:0')
tensor(18.7284, device='cuda:0')	tensor(43.4847, device='cuda:0')
tensor(18.2538, device='cuda:0')	tensor(42.3259, device='cuda:0')
tensor(18.0877, device='cuda:0')	tensor(41.9296, device='cuda:0')
tensor(17.5034, device='cuda:0')	tensor(40.6282, device='cuda:0')
tensor(17.0673, device='cuda:0')	tensor(39.5042, device='cuda:0')
tensor(17.2154, device='cuda:0')	tensor(39.8389, device='cuda:0')
tensor(16.5021, device='cuda:0')	tensor(38.1949, device='cuda:0')
tensor(17.8487, device='cuda:0')	tensor(41.4670, device='cuda:0')
tensor(17.8917, device='cuda:0')	tensor(41.4339, device='cuda:0')
tensor(17.4126, device='cuda:0')	tensor(40.4004, device='cuda:0')
tensor(17.4302, device='cuda:0')	tensor(40.3712, device='cuda:0')
tensor(17.9612, device='cuda:0')	tensor(41.6243, device='cuda:0')
tensor(17.7130, device='cuda:0')	tensor(41.0973, device='cuda:0')
tensor(17.2671, device='cuda:0')	tensor(40.0401, device='cuda:0')
tensor(17.4051, device='cuda:0')	tensor(40.3642, device='cuda:0')
tensor(16.6676, device='cuda:0')	tensor(38.5525, device='cuda:0')
tensor(17.0138, device='cuda:0')	tensor(39.3919, device='cuda:0')
tensor(17.0505, device='cuda:0')	tensor(39.5934, device='cuda:0')
tensor(17.7685, device='cuda:0')	tensor(41.1422, device='cuda:0')
tensor(16.1578, device='cuda:0')	tensor(37.3997, device='cuda:0')
tensor(17.3632, device='cuda:0')	tensor(40.2652, device='cuda:0')
tensor(17.2616, device='cuda:0')	tensor(39.9918, device='cuda:0')
tensor(16.7791, device='cuda:0')	tensor(38.7952, device='cuda:0')
tensor(17.1778, device='cuda:0')	tensor(39.7357, device='cuda:0')
tensor(17.0627, device='cuda:0')	tensor(39.5177, device='cuda:0')
tensor(17.7343, device='cuda:0')	tensor(41.0285, device='cuda:0')
tensor(16.8470, device='cuda:0')	tensor(38.9368, device='cuda:0')
tensor(17.4646, device='cuda:0')	tensor(40.3585, device='cuda:0')
tensor(17.5599, device='cuda:0')	tensor(40.6955, device='cuda:0')
tensor(17.4994, device='cuda:0')	tensor(40.4972, device='cuda:0')
tensor(17.4985, device='cuda:0')	tensor(40.4530, device='cuda:0')
tensor(17.4809, device='cuda:0')	tensor(40.4424, device='cuda:0')
tensor(16.6594, device='cuda:0')	tensor(38.4095, device='cuda:0')
tensor(17.1232, device='cuda:0')	tensor(39.5329, device='cuda:0')
tensor(17.2889, device='cuda:0')	tensor(40.0059, device='cuda:0')
tensor(17.3093, device='cuda:0')	tensor(39.9902, device='cuda:0')
tensor(17.4468, device='cuda:0')	tensor(40.4140, device='cuda:0')
tensor(17.3864, device='cuda:0')	tensor(40.2679, device='cuda:0')
tensor(17.2502, device='cuda:0')	tensor(39.8020, device='cuda:0')
tensor(15.9425, device='cuda:0')	tensor(36.8532, device='cuda:0')
